season,player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
2021,Michael Thomas,7279,S,CIN,4,2,0,66.7,0,0,7,49.5,52.9,76.8,,66.3,71.7,0,0,0,28,8.3,1,1,0,90.3,4,0,14,1,46,88,4,0,0,4,0,59,84,0,42,10,0,9,6,0,0,47,29,11.8
2021,Tashaun Gipson Sr.,7288,S,CHI,12,11,0,75.9,0,0,6,50.8,51.5,52.4,63.3,55.9,62.5,0,1,2,37,12.7,7,0,1,79.7,22,1,199,3,362,660,24,0,0,24,0,327,636,6,292,107,9,37,29,2,1,220,130,10
2021,Julian Stanford,7372,LB,CAR,6,0,0,100,0,0,5,56.1,51.1,79.2,53.9,52.2,76,0,0,0,28,0,0,0,0,110.4,2,0,66,1,35,76,7,0,0,7,0,0,69,6,35,2,1,3,2,0,0,21,17,10.5
2021,Brandon Bolden,7469,HB,NE,1,0,0,,0,0,19,60.7,47.3,59.8,,,,0,0,0,,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
2021,Harrison Smith,7641,S,MIN,15,22,0,74.1,0,1,18,81.8,77.9,31.8,60.6,74,86.2,3,2,1,35,6.7,8,5,4,85,20,3,337,25,615,1048,104,0,0,104,0,426,944,43,390,156,22,89,27,8,0,237,83,11.9
2021,Malik Jackson,7647,DI,CLV,16,5,4,,0,0,8,56.2,44.4,49.9,54.5,43.6,28.2,6,19,0,,20,6,0,4,0,0,1,1,0,0,646,644,11,341,13,279,0,2,419,227,0,14,19,0,26,0,0,0,
2021,Josh Norman,7649,CB,SF,14,6,0,67.8,3,7,28,47.4,48.8,62.1,68.7,55.9,57,0,0,1,57,11.1,6,4,10,125,40,0,63,688,476,765,12,0,0,12,0,0,753,1,288,2,12,42,59,0,6,560,139,14
2021,Justin Bethel,7654,CB,NE,9,0,0,71.4,1,0,19,58.7,59.5,81.1,,60.9,78.1,0,0,0,35,0,0,1,1,105.7,5,0,2,26,34,42,0,0,0,0,0,0,42,0,8,13,1,4,7,0,0,74,18,14.8
2021,D.J. Hayden,7793,CB,WAS,1,0,0,100,0,0,32,29,26,66.5,,60,26.4,0,0,0,61,100,1,0,0,118.8,1,0,1,1,2,4,0,0,0,0,0,0,4,0,2,2,0,0,1,0,0,61,57,61
2021,Sheldon Richardson,7794,DI,MIN,17,6,3,,0,1,18,64.7,62.1,59.6,60.9,61,61,11,22,0,,7.3,3,0,3,0,0,4,4,0,1,688,684,42,184,310,148,0,4,468,219,0,24,32,0,37,0,0,0,
2021,Star Lotulelei,7795,DI,BUF,11,4,0,,1,0,4,62.9,43.5,43.6,65.3,30.9,32.7,1,10,0,,13.3,2,0,2,0,0,3,0,0,0,317,317,50,215,0,52,0,0,186,131,0,8,9,0,14,0,0,0,
2021,Desmond Trufant,7803,CB,LV,10,1,0,46.4,0,0,23,64.7,66.3,81.6,,68.8,62.4,0,0,0,20,10.5,2,3,0,71.1,13,0,31,191,162,234,2,0,0,2,0,0,232,0,72,9,6,16,28,0,1,124,19,9.5
2021,Xavier Rhodes,7806,CB,IND,13,5,0,63.1,1,0,14,61.8,61.8,87,,56.9,48.3,0,0,1,57,11.4,5,5,4,92.1,41,0,43,580,402,638,1,0,0,1,0,0,637,0,236,14,9,34,65,0,2,524,182,12.8
2021,Cordarrelle Patterson,7810,HB,ATL,2,0,0,,0,0,2,59.9,59.9,64.6,,,,0,0,0,,,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,
2021,Alec Ogletree,7811,LB,CHI,16,16,0,79.3,1,1,6,33.1,29.2,32.3,62,29.6,47.2,3,1,0,23,14.9,14,2,5,108.9,23,0,617,2,330,697,40,0,0,40,0,4,657,28,339,34,39,64,29,4,1,214,133,9.3
2021,Darius Slay,7817,CB,PHI,16,4,0,61.1,0,0,24,83.9,81.3,87.2,,60.8,56.6,0,0,3,49,13.3,8,4,3,76.1,44,0,93,854,574,953,4,0,0,4,0,1,949,0,379,1,16,48,72,0,3,459,156,10.4
2021,Kevin Minter,7826,LB,TB,12,6,0,68.2,0,0,30,53.2,53.7,79.3,65.7,52.2,35.6,2,5,0,24,21.1,8,0,0,79.2,15,1,305,3,184,331,7,0,0,7,0,0,324,34,113,16,13,24,22,8,0,107,95,7.1
2021,Johnathan Hankins,7830,DI,LV,14,15,1,0,1,0,23,71.8,46.9,52.8,50.4,48.1,57.3,2,6,0,,5.4,2,0,3,39.6,0,0,3,0,2,568,564,164,388,0,12,0,4,297,269,0,12,20,1,8,0,0,0,
2021,Jon Bostic,7831,LB,WAS,4,7,0,94.4,0,0,32,30.2,34.4,78.5,59.6,50.5,53.5,0,0,0,23,12,3,0,0,135.9,17,0,153,1,98,179,12,0,0,12,0,0,167,15,66,13,7,15,18,0,1,219,84,12.9
2021,Jamie Collins Sr.,7833,LB,NE,12,8,0,100,0,0,19,76.8,84.3,84.5,76.1,76.8,72.9,2,6,1,22,6.3,2,1,0,95,10,1,170,0,105,301,113,0,0,113,0,0,188,45,151,17,13,22,10,9,1,83,52,8.3
2021,Margus Hunt,7834,DI,CHI,10,3,0,,0,0,6,60,46.9,81.3,58.2,44.7,75.1,0,3,0,,0,0,0,0,0,0,0,0,0,0,151,150,16,71,4,59,0,1,47,104,0,8,10,0,3,0,0,0,
