"","yearly_id","down","snap_count","team_snaps","snap_down_usage"
"342","2021_00-0030074",3,7,14,50
"343","2021_00-0030074",4,1,3,33.3333333333333
"344","2021_00-0030076",1,447,447,100
"345","2021_00-0030076",2,334,334,100
"346","2021_00-0030076",3,219,219,100
"347","2021_00-0030076",4,32,32,100
"348","2021_00-0030083",1,113,143,79.020979020979
"349","2021_00-0030083",2,99,119,83.1932773109244
"350","2021_00-0030083",3,57,72,79.1666666666667
"351","2021_00-0030083",4,7,11,63.6363636363636
"352","2021_00-0030085",1,93,226,41.1504424778761
"353","2021_00-0030085",2,87,203,42.8571428571429
"354","2021_00-0030085",3,48,138,34.7826086956522
"355","2021_00-0030085",4,3,10,30
"356","2021_00-0030097",1,490,490,100
"357","2021_00-0030097",2,377,378,99.7354497354497
"358","2021_00-0030097",3,240,240,100
"359","2021_00-0030097",4,24,24,100
"360","2021_00-0030108",1,255,372,68.5483870967742
"361","2021_00-0030108",2,185,288,64.2361111111111
"362","2021_00-0030108",3,93,170,54.7058823529412
"363","2021_00-0030108",4,12,25,48
"364","2021_00-0030155",1,103,406,25.3694581280788
"365","2021_00-0030155",2,78,328,23.780487804878
"366","2021_00-0030155",3,14,182,7.69230769230769
"367","2021_00-0030155",4,5,22,22.7272727272727
"368","2021_00-0030181",1,305,487,62.6283367556468
"369","2021_00-0030181",2,199,363,54.8209366391185
"370","2021_00-0030181",3,99,221,44.7963800904977
"371","2021_00-0030181",4,20,26,76.9230769230769
"372","2021_00-0030273",1,125,126,99.2063492063492
"373","2021_00-0030273",2,95,96,98.9583333333333
"374","2021_00-0030273",3,71,72,98.6111111111111
"375","2021_00-0030273",4,8,8,100
"376","2021_00-0030279",1,398,459,86.7102396514161
"377","2021_00-0030279",2,299,352,84.9431818181818
"378","2021_00-0030279",3,205,219,93.6073059360731
"379","2021_00-0030279",4,32,35,91.4285714285714
"380","2021_00-0030288",1,112,384,29.1666666666667
"381","2021_00-0030288",2,99,309,32.0388349514563
"382","2021_00-0030288",3,111,218,50.9174311926605
"383","2021_00-0030288",4,5,16,31.25
"384","2021_00-0030431",1,255,275,92.7272727272727
"385","2021_00-0030431",2,183,196,93.3673469387755
"386","2021_00-0030431",3,105,116,90.5172413793103
"387","2021_00-0030431",4,10,11,90.9090909090909
"388","2021_00-0030456",1,46,409,11.2469437652812
"389","2021_00-0030456",2,38,312,12.1794871794872
"390","2021_00-0030456",3,102,177,57.6271186440678
"391","2021_00-0030456",4,6,16,37.5
"392","2021_00-0030465",1,4,26,15.3846153846154
"393","2021_00-0030465",2,3,19,15.7894736842105
"394","2021_00-0030465",3,2,10,20
"395","2021_00-0030465",4,0,1,0
"396","2021_00-0030496",1,73,247,29.5546558704453
"397","2021_00-0030496",2,46,185,24.8648648648649
